Product URL,Description,Product Description,Manufacturer,ASIN
https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-9,,,,
https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-10,,,,
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMjAzNTg4MDg1NjU1NTk4OjE2OTI3MzAwNjQ6c3BfbXRmOjIwMTQ2NTQzMDk0NDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692730064%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",,"‎                                 Amazing Bags, Half_Moon, New Delhi",‎                                 B085MHDJ93
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMjAzNTg4MDg1NjU1NTk4OjE2OTI3MzAwNjQ6c3BfbXRmOjIwMDc5NTQzMjQ4MDk4OjowOjo&url=%2FRed-Lemon-Plus-Travelling-1908%2Fdp%2FB082Y7TZ8Z%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692730064%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Durable construction and water-resistant material make this backpack suitable for use in all weather conditions.,,‎                                 TSpark,‎                                 B082Y7TZ8Z
https://www.amazon.in//AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_25_trfobq2av2_0_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,,,,
https://www.amazon.in//AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_25_trfobq2av2_0_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,,,,
https://www.amazon.in//MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfobq2av2_1_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,"CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.",,,‎                                 B09SB5DP5Y
https://www.amazon.in//Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_25_trfobq2av2_2_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,Oxo-Biodegradable Garbage Bags for your home and kitchen,"Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Large in size, they easily fit any large dustbins, allowing you to clean out overflowing trash. Or store away old clothes for donation or clear out your yard, garden or basement. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. They are available in black colour in a pack of 6 rolls, and each roll contains 15 bags for your convenience.",‎                                 SINAR INDAH PULP & PAPER PVT LTD Plot No,‎                                 B0821PYKVK
https://www.amazon.in//Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_25_trfobq2av2_3_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a,Colour: Melange Slub Grey,,,
https://www.amazon.in//Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_25_trfobq2av2_4_B08D5RCWV9?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,"☆ Great Gift:Cute and Cool animal toddler school backpacks, Great Gift for kids with Lovely animal attractive design, Perfect for children going out for travel, preschool and Daycare center.",,"‎                                 Vancouver Store, Vancouver.store0113@gmail.com",‎                                 B08D5RCWV9
https://www.amazon.in//Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY/ref=sxin_25_trfobq2av2_5_B08FTHBRPY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTHBRPY&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,Shoulder straps and tote bag straps offer you comfortable dual carrying options,"Packing food, clothing, toys and accessories for your baby is convenient and made easy with the Solimo Diaper Backpack. Made using 100% polyester water resistant fabric, it is durable, long lasting and easy to clean in case of spills and accidents. This spacious backpack is made using quality materials and stitching and is tested in an NABL accredited lab against 72 parameters for quality, performance and safety. It is free from harmful chemicals like Azo dye and formaldehyde, making it safe for everyday use. For your peace of mind it comes with a 1 year warranty against manufacturing defects. The Solimo Diaper Backpack is equipped with zipper closures that are sturdy and convenient to use. Built with a quick access back opening, it leads directly to the interior of the bag and can be used with one hand. This backpack features an insulated pocket that can store 3 feeding bottles with ease. A side tissue pocket is zipperless and easy to reach and pull out. This backpack also has a back mobile pocket that is discrete to help prevent theft. With shoulder and tote carrying straps, you can decide which is more comfortable for you. From diapers, towels, tissues, feeding bottles and toys, this diaper backpack is ideal for park trips, outings and everyday activities.",,
https://www.amazon.in//Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_25_trfobq2av2_6_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,CONVENIENT STORAGE Laptop Backpacks Comes With A Side Net Pocket Makes It Easy To Hold A Water Bottle .,"DURABLE & COMFORTABLE Oxford Fabric Thanks to dyazo slim backpack Water-Resistant And Scratch-Resistant fabric Offers Long Life And Can Be Used As A Daily Backpack, Work Backpack or A Study Bookbag, Sutable As A Business Laptop Backpack For Men Women Adult Teens Or Daily Use Anywhere",,
https://www.amazon.in//School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY/ref=sxin_25_trfobq2av2_7_B097NHH5YY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NHH5YY&pd_rd_r=154a69b6-0ea2-4ffc-8843-b290871e73d6&pd_rd_w=ZyMtP&pd_rd_wg=EKPaB&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=H54MT85YMSY3YCC5G6ZT&qid=1692730064&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,Color Name: Bt Cute Dog&Koala<br>,,,
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-13,6 months limited warranty,,,
https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-14,"FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",‎                                 Amazing Bags,‎                                 B09VCLZ3K4
https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-15,Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper,,"‎                                 Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",‎                                 B019HA8AYG
https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-16,Anti theft waterproof bag with anti sweat fabric on back and shoulder straps,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.","‎                                 Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",‎                                 B07G4F6XFH
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-17,Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.,,,
https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-18,Manufacturer warranty - 2 years,This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.,"‎                                 Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",‎                                 B097RJ22Q3
https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-19,"Well Organized compartment ,Security Back Pocket","A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self","‎                                 EXPERTS, China",‎                                 B0BTD4FK9G
https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692730064&sprefix=ba%2Caps%2C283&sr=8-20,Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.","‎                                 Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",‎                                 B09B25Z8M2
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMjAzNTg4MDg1NjU1NTk4OjE2OTI3MzAwNjQ6c3BfYnRmOjIwMDYzMzYwNTY1Njk4OjowOjo&url=%2FMartucci-Waterproof-Backpack-College-Business%2Fdp%2FB0B1HM2ZGX%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692730064%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Lining Description: Polyester; Pattern Name: Self Design; Pocket Description: Utility Pocket; Material Type: Polyester; Color Name: Navy Blue; Age Range Description: Adult; Special Features: Back Padding<br>,"Mrtucci Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed.",‎                                 Martuci,‎                                 B0B1HM2ZGX
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozMjAzNTg4MDg1NjU1NTk4OjE2OTI3MzAwNjQ6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692730064%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty,,"‎                                 Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care",‎                                 B0BWNBQXDZ
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1ODI0OTQyNDQ2NTc2NTk4OjE2OTI3MzAwNjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3Decf9ec04-5e1e-4e41-9de8-c7d05038487f%26pd_rd_w%3DtJXEn%26pd_rd_wg%3DT38tT%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DH54MT85YMSY3YCC5G6ZT%26qid%3D1692730064%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Backpack,Backpack,,‎                                 B09CQ5T3LN
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo1ODI0OTQyNDQ2NTc2NTk4OjE2OTI3MzAwNjQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxbs_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%253Aamzn1.sym.8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3Decf9ec04-5e1e-4e41-9de8-c7d05038487f%26pd_rd_w%3DtJXEn%26pd_rd_wg%3DT38tT%26pf_rd_p%3D8ea8b837-e8d5-4d1c-96e0-6db92bafe572%26pf_rd_r%3DH54MT85YMSY3YCC5G6ZT%26qid%3D1692730064%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-5305f254-094d-43e2-b889-464ddb5d65bb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Backpack,Backpack,,‎                                 B09CQ5T3LN
